n,tp,tn,fp,fn,accuracy,precision_up,recall_up,f1_up,precision_down,recall_down,f1_down,weighted_f1,predicted_up_rate,model_name,threshold
7104,22,3778,10,3294,0.5349099099099099,0.6875,0.0066344993968636915,0.013142174432497015,0.5342194570135747,0.9973600844772967,0.6957642725598526,0.3771304215758561,0.0045045045045045045,gradient_boosted_trees,0.63
7104,17,3783,5,3299,0.5349099099099099,0.7727272727272727,0.005126658624849216,0.01018573996405033,0.5341711380965829,0.9986800422386484,0.6960441582336707,0.37589966006615083,0.003096846846846847,gradient_boosted_trees,0.64
7104,8,3784,4,3308,0.5337837837837838,0.6666666666666666,0.0024125452352231603,0.004807692307692307,0.5335589396503102,0.9989440337909187,0.6955882352941176,0.3731461912987648,0.0016891891891891893,gradient_boosted_trees,0.65
7104,3273,76,3712,43,0.47142454954954954,0.4685755189692198,0.9870325693606755,0.6354722842442482,0.6386554621848739,0.02006335797254488,0.0389045303301766,0.3173699965434454,0.9832488738738738,logistic_regression,0.35
7104,3222,142,3646,94,0.47353603603603606,0.4691322073383809,0.9716525934861279,0.6327572663000786,0.6016949152542372,0.03748680042238648,0.0705765407554672,0.3329908546498832,0.9667792792792793,logistic_regression,0.36
7104,3168,256,3532,148,0.481981981981982,0.4728358208955224,0.9553679131483716,0.6325878594249201,0.6336633663366337,0.0675818373812038,0.12213740458015267,0.3604051000003735,0.9431306306306306,logistic_regression,0.37
7104,3083,387,3401,233,0.4884572072072072,0.4754780999383097,0.9297346200241254,0.6291836734693877,0.6241935483870967,0.10216473072861669,0.1755898366606171,0.3873180408917381,0.9127252252252253,logistic_regression,0.38
7104,2997,551,3237,319,0.4994369369369369,0.4807507218479307,0.9037997587454765,0.6276439790575916,0.6333333333333333,0.14545934530095037,0.23658222413052812,0.419121748249073,0.8775337837837838,logistic_regression,0.39
7104,2907,687,3101,409,0.5059121621621622,0.4838548601864181,0.876658624849216,0.6235521235521236,0.6268248175182481,0.18136219640971488,0.2813267813267813,0.4410704799218313,0.8457207207207207,logistic_regression,0.4
7104,2802,847,2941,514,0.5136542792792793,0.48789831098728886,0.8449939686369119,0.6186113257533944,0.6223365172667157,0.22360084477296727,0.32899592153816276,0.46418239118592575,0.8084177927927928,logistic_regression,0.41
7104,2687,994,2794,629,0.5181587837837838,0.4902390074803868,0.8103136308805791,0.6108900761623282,0.6124460874922982,0.2624076029567054,0.36739974126778785,0.48105598430133173,0.7715371621621622,logistic_regression,0.42
7104,2572,1162,2626,744,0.5256193693693694,0.4948056944978838,0.7756332931242461,0.604181348367395,0.6096537250786989,0.30675818373812036,0.4081489286968739,0.49965280026605297,0.7317004504504504,logistic_regression,0.43
7104,2461,1306,2482,855,0.5302646396396397,0.4978757839368804,0.7421592279855247,0.5959559268676595,0.6043498380379454,0.3447729672650475,0.43906538914103205,0.5122986412668058,0.6958051801801802,logistic_regression,0.44
7104,2357,1441,2347,959,0.5346283783783784,0.501062925170068,0.7107961399276237,0.587780548628429,0.6004166666666667,0.38041182682154173,0.4657401422107305,0.522706075161334,0.6621621621621622,logistic_regression,0.45
7104,2211,1618,2170,1105,0.5389921171171171,0.5046792969641635,0.666767189384801,0.5745095491750033,0.5941975762027176,0.42713833157338965,0.49700506834587627,0.5331825540482109,0.6166948198198198,logistic_regression,0.46
7104,1976,1842,1946,1340,0.5374436936936937,0.5038245792962774,0.5958986731001207,0.5460071843050568,0.5788812067881836,0.48627243928194297,0.5285509325681492,0.5366991491728206,0.5520833333333334,logistic_regression,0.47
7104,1667,2123,1665,1649,0.5335022522522522,0.5003001200480192,0.502714113389626,0.5015042117930204,0.5628313891834571,0.560454065469905,0.5616402116402116,0.5335699729728008,0.46903153153153154,logistic_regression,0.48
7104,1396,2409,1379,1920,0.5356137387387387,0.503063063063063,0.4209891435464415,0.45838121819077327,0.5564795564795565,0.6359556494192186,0.5935690526056424,0.5304661726901433,0.390625,logistic_regression,0.49
7104,1121,2725,1063,2195,0.5413851351351351,0.5132783882783882,0.3380579010856454,0.4076363636363637,0.5538617886178862,0.7193769799366421,0.625861276986679,0.5239984092122357,0.30743243243243246,logistic_regression,0.5
7104,911,2948,840,2405,0.5432150900900901,0.5202741290691034,0.2747285886610374,0.3595816064732583,0.5507192228656828,0.778247096092925,0.645006016847172,0.5117758162841233,0.24648085585585586,logistic_regression,0.51
7104,747,3115,673,2569,0.5436373873873874,0.526056338028169,0.2252714113389626,0.3154560810810811,0.5480295566502463,0.8223336853220697,0.6577280405405405,0.49796258198654725,0.1998873873873874,logistic_regression,0.52
7104,600,3264,524,2716,0.543918918918919,0.5338078291814946,0.18094089264173704,0.2702702702702703,0.545819397993311,0.8616684266103485,0.6683046683046683,0.4825104588618102,0.15822072072072071,logistic_regression,0.53
7104,483,3362,426,2833,0.5412443693693694,0.5313531353135313,0.1456574185765983,0.22863905325443787,0.5426957223567394,0.8875395987328405,0.6735450265451267,0.4658721369854527,0.12795608108108109,logistic_regression,0.54
7104,383,3451,337,2933,0.5396959459459459,0.5319444444444444,0.1155006031363088,0.18979187314172447,0.5405701754385965,0.9110348468848997,0.6785292961069603,0.45039679405843525,0.10135135135135136,logistic_regression,0.55
7104,319,3511,277,2997,0.5391328828828829,0.535234899328859,0.09620024125452352,0.1630879345603272,0.5394898586355255,0.9268743400211193,0.6820124320124319,0.43978922909137624,0.0838963963963964,logistic_regression,0.56
7104,250,3559,229,3066,0.5361768018018018,0.5219206680584552,0.07539203860072376,0.13175230566534912,0.5372075471698113,0.939545934530095,0.6835686161528858,0.4259921964489624,0.0674268018018018,logistic_regression,0.57
7104,196,3599,189,3120,0.534206081081081,0.509090909090909,0.05910735826296743,0.10591731964333964,0.5356451852954308,0.9501055966209081,0.6850670981250595,0.41473198193060806,0.05419481981981982,logistic_regression,0.58
7104,170,3629,159,3146,0.5347691441441441,0.5167173252279635,0.05126658624849216,0.09327846364883403,0.5356457564575646,0.958025343189018,0.6871154028211683,0.4099246243448929,0.046311936936936936,logistic_regression,0.59
7104,143,3651,137,3173,0.5340653153153153,0.5107142857142857,0.043124246079613994,0.07953281423804227,0.5350234466588512,0.9638331573389651,0.6880889558989824,0.40402755869350976,0.039414414414414414,logistic_regression,0.6
7104,117,3677,111,3199,0.5340653153153153,0.5131578947368421,0.03528347406513872,0.06602708803611738,0.5347585805700988,0.9706969376979937,0.6896099024756188,0.3985343657806038,0.03209459459459459,logistic_regression,0.61
